Date,Day,Public_Holiday,Predicted_Customers_Chinese,Chinese_Buffet_Busy,India_Reservation,Predicted_Customers_India,Indian_Buffet_Busy,Food_Court_Customer,10am-11am,11am-12pm,12pm-1pm,1pm-2pm,2pm-3pm,3pm-4pm,4pm-5pm,5pm-6pm,6pm-7pm,7pm-8pm,8pm-9pm,9pm-10pm
20/06/2024,Thursday,,112.0,True,True,82.0,False,119.0,7.0,21.0,28.0,21.0,14.0,7.0,21.0,0.0,0.0,59.0,80.0,55.0
21/06/2024,Friday,,111.0,True,True,110.0,True,109.0,6.0,19.0,28.0,19.0,12.0,6.0,19.0,0.0,0.0,56.0,109.0,56.0
22/06/2024,Saturday,,164.0,True,True,112.0,True,129.0,7.0,22.0,34.0,22.0,15.0,7.0,22.0,0.0,0.0,81.0,125.0,70.0
23/06/2024,Sunday,,175.0,True,True,172.0,True,199.0,11.0,35.0,49.0,35.0,23.0,11.0,35.0,0.0,0.0,86.0,164.0,97.0
24/06/2024,Monday,,100.0,False,False,0.0,False,89.0,5.0,15.0,24.0,15.0,10.0,5.0,15.0,0.0,0.0,57.0,23.0,20.0
25/06/2024,Tuesday,,100.0,False,False,0.0,False,89.0,5.0,15.0,24.0,15.0,10.0,5.0,15.0,0.0,0.0,57.0,23.0,20.0
26/06/2024,Wednesday,,172.0,True,True,90.0,False,209.0,12.0,36.0,53.0,36.0,24.0,12.0,36.0,0.0,0.0,78.0,113.0,71.0
27/06/2024,Thursday,,124.0,True,False,0.0,False,149.0,8.0,26.0,38.0,26.0,17.0,8.0,26.0,0.0,0.0,64.0,36.0,24.0
28/06/2024,Friday,,124.0,True,False,0.0,False,149.0,8.0,26.0,38.0,26.0,17.0,8.0,26.0,0.0,0.0,64.0,36.0,24.0
29/06/2024,Saturday,,174.0,True,True,103.0,True,174.0,10.0,30.0,44.0,30.0,20.0,10.0,30.0,0.0,0.0,95.0,114.0,68.0
30/06/2024,Sunday,,174.0,True,True,103.0,True,174.0,10.0,30.0,44.0,30.0,20.0,10.0,30.0,0.0,0.0,95.0,114.0,68.0
01/07/2024,Monday,,135.0,True,False,0.0,False,135.0,7.0,23.0,37.0,23.0,15.0,7.0,23.0,0.0,0.0,65.0,43.0,27.0
02/07/2024,Tuesday,,134.0,True,False,0.0,False,133.0,7.0,23.0,35.0,23.0,15.0,7.0,23.0,0.0,0.0,59.0,48.0,27.0
03/07/2024,Wednesday,,127.0,True,False,0.0,False,126.0,7.0,22.0,32.0,22.0,14.0,7.0,22.0,0.0,0.0,61.0,42.0,24.0
04/07/2024,Thursday,,134.0,True,False,0.0,False,137.0,8.0,24.0,33.0,24.0,16.0,8.0,24.0,0.0,0.0,67.0,41.0,26.0
05/07/2024,Friday,,111.0,True,True,91.0,False,99.0,5.0,17.0,27.0,17.0,11.0,5.0,17.0,0.0,0.0,59.0,90.0,53.0
06/07/2024,Saturday,,140.0,True,True,142.0,True,140.0,8.0,24.0,36.0,24.0,16.0,8.0,24.0,0.0,0.0,74.0,132.0,76.0
07/07/2024,Sunday,,129.0,True,True,104.0,True,139.0,8.0,24.0,35.0,24.0,16.0,8.0,24.0,0.0,0.0,65.0,107.0,61.0
08/07/2024,Monday,,106.0,True,True,109.0,True,95.0,5.0,16.0,26.0,16.0,11.0,5.0,16.0,0.0,0.0,47.0,99.0,69.0
09/07/2024,Tuesday,,109.0,True,False,0.0,False,106.0,6.0,18.0,28.0,18.0,12.0,6.0,18.0,0.0,0.0,54.0,38.0,17.0
10/07/2024,Wednesday,,124.0,True,True,110.0,True,104.0,6.0,18.0,26.0,18.0,12.0,6.0,18.0,0.0,0.0,64.0,111.0,59.0
11/07/2024,Thursday,,124.0,True,True,110.0,True,104.0,6.0,18.0,26.0,18.0,12.0,6.0,18.0,0.0,0.0,64.0,111.0,59.0
12/07/2024,Friday,,111.0,True,False,0.0,False,87.0,5.0,15.0,22.0,15.0,10.0,5.0,15.0,0.0,0.0,52.0,35.0,24.0
13/07/2024,Saturday,,122.0,True,True,109.0,True,105.0,6.0,18.0,27.0,18.0,12.0,6.0,18.0,0.0,0.0,70.0,102.0,59.0
14/07/2024,Sunday,,121.0,True,True,128.0,True,105.0,6.0,18.0,27.0,18.0,12.0,6.0,18.0,0.0,0.0,58.0,119.0,72.0
15/07/2024,Monday,,114.0,True,True,88.0,False,128.0,7.0,22.0,33.0,22.0,15.0,7.0,22.0,0.0,0.0,51.0,92.0,59.0
16/07/2024,Tuesday,,139.0,True,False,0.0,False,166.0,9.0,29.0,42.0,29.0,19.0,9.0,29.0,0.0,0.0,70.0,45.0,24.0
17/07/2024,Wednesday,,120.0,True,True,108.0,True,106.0,6.0,18.0,28.0,18.0,12.0,6.0,18.0,0.0,0.0,63.0,98.0,67.0
18/07/2024,Thursday,,98.0,False,False,0.0,False,115.0,6.0,20.0,30.0,20.0,13.0,6.0,20.0,0.0,0.0,46.0,28.0,24.0
19/07/2024,Friday,,100.0,False,True,97.0,False,113.0,6.0,19.0,31.0,19.0,13.0,6.0,19.0,0.0,0.0,55.0,89.0,53.0
20/07/2024,Saturday,,150.0,True,False,0.0,False,179.0,10.0,31.0,45.0,31.0,21.0,10.0,31.0,0.0,0.0,83.0,37.0,30.0
21/07/2024,Sunday,,156.0,True,False,0.0,False,169.0,9.0,29.0,45.0,29.0,19.0,9.0,29.0,0.0,0.0,79.0,41.0,36.0
22/07/2024,Monday,,120.0,True,False,0.0,False,92.0,5.0,16.0,24.0,16.0,10.0,5.0,16.0,0.0,0.0,58.0,40.0,22.0
23/07/2024,Tuesday,,120.0,True,False,0.0,False,92.0,5.0,16.0,24.0,16.0,10.0,5.0,16.0,0.0,0.0,58.0,40.0,22.0
24/07/2024,Wednesday,,114.0,True,False,0.0,False,94.0,5.0,16.0,25.0,16.0,11.0,5.0,16.0,0.0,0.0,56.0,30.0,28.0
25/07/2024,Thursday,,97.0,False,True,105.0,True,85.0,5.0,15.0,20.0,15.0,10.0,5.0,15.0,0.0,0.0,51.0,97.0,54.0
26/07/2024,Friday,,128.0,True,False,0.0,False,148.0,8.0,26.0,37.0,26.0,17.0,8.0,26.0,0.0,0.0,70.0,34.0,24.0
27/07/2024,Saturday,,132.0,True,False,0.0,False,131.0,7.0,23.0,33.0,23.0,15.0,7.0,23.0,0.0,0.0,59.0,47.0,26.0
28/07/2024,Sunday,,132.0,True,False,0.0,False,131.0,7.0,23.0,33.0,23.0,15.0,7.0,23.0,0.0,0.0,59.0,47.0,26.0
29/07/2024,Monday,,140.0,True,False,0.0,False,171.0,10.0,30.0,41.0,30.0,20.0,10.0,30.0,0.0,0.0,65.0,50.0,25.0
30/07/2024,Tuesday,,127.0,True,True,104.0,True,117.0,6.0,20.0,32.0,20.0,13.0,6.0,20.0,0.0,0.0,51.0,113.0,67.0
31/07/2024,Wednesday,,162.0,True,True,125.0,True,138.0,8.0,24.0,34.0,24.0,16.0,8.0,24.0,0.0,0.0,82.0,125.0,80.0
01/08/2024,Thursday,,139.0,True,False,0.0,False,142.0,8.0,25.0,35.0,25.0,16.0,8.0,25.0,0.0,0.0,74.0,39.0,26.0
02/08/2024,Friday,,111.0,True,True,91.0,False,99.0,5.0,17.0,27.0,17.0,11.0,5.0,17.0,0.0,0.0,59.0,90.0,53.0
03/08/2024,Saturday,,171.0,True,True,112.0,True,175.0,10.0,30.0,45.0,30.0,20.0,10.0,30.0,0.0,0.0,77.0,134.0,72.0
04/08/2024,Sunday,,171.0,True,True,112.0,True,175.0,10.0,30.0,45.0,30.0,20.0,10.0,30.0,0.0,0.0,77.0,134.0,72.0
05/08/2024,Monday,,133.0,True,True,81.0,False,123.0,7.0,21.0,32.0,21.0,14.0,7.0,21.0,0.0,0.0,70.0,91.0,53.0
06/08/2024,Tuesday,,134.0,True,True,103.0,True,116.0,6.0,20.0,31.0,20.0,13.0,6.0,20.0,0.0,0.0,72.0,100.0,65.0
07/08/2024,Wednesday,,136.0,True,False,0.0,False,139.0,8.0,24.0,35.0,24.0,16.0,8.0,24.0,0.0,0.0,73.0,31.0,32.0
08/08/2024,Thursday,,136.0,True,False,0.0,False,139.0,8.0,24.0,35.0,24.0,16.0,8.0,24.0,0.0,0.0,73.0,31.0,32.0
09/08/2024,Friday,National Day,151.0,True,True,176.0,True,177.0,10.0,31.0,44.0,31.0,20.0,10.0,31.0,0.0,0.0,73.0,156.0,98.0
10/08/2024,Saturday,,171.0,True,True,112.0,True,175.0,10.0,30.0,45.0,30.0,20.0,10.0,30.0,0.0,0.0,77.0,134.0,72.0
11/08/2024,Sunday,,111.0,True,False,0.0,False,136.0,8.0,24.0,32.0,24.0,16.0,8.0,24.0,0.0,0.0,58.0,32.0,21.0
12/08/2024,Monday,,104.0,True,False,0.0,False,111.0,6.0,19.0,29.0,19.0,13.0,6.0,19.0,0.0,0.0,49.0,39.0,16.0
13/08/2024,Tuesday,,138.0,True,True,96.0,False,107.0,6.0,18.0,29.0,18.0,12.0,6.0,18.0,0.0,0.0,63.0,110.0,61.0
14/08/2024,Wednesday,,134.0,True,True,104.0,True,111.0,6.0,19.0,29.0,19.0,13.0,6.0,19.0,0.0,0.0,75.0,102.0,61.0
15/08/2024,Thursday,,139.0,True,False,0.0,False,166.0,9.0,29.0,42.0,29.0,19.0,9.0,29.0,0.0,0.0,70.0,45.0,24.0
16/08/2024,Friday,,111.0,True,False,0.0,False,123.0,7.0,21.0,32.0,21.0,14.0,7.0,21.0,0.0,0.0,53.0,35.0,23.0
17/08/2024,Saturday,,170.0,True,True,175.0,True,190.0,11.0,33.0,47.0,33.0,22.0,11.0,33.0,0.0,0.0,96.0,165.0,84.0
18/08/2024,Sunday,,152.0,True,True,133.0,True,137.0,8.0,24.0,33.0,24.0,16.0,8.0,24.0,0.0,0.0,59.0,144.0,82.0
19/08/2024,Monday,,123.0,True,True,73.0,False,93.0,5.0,16.0,25.0,16.0,10.0,5.0,16.0,0.0,0.0,60.0,84.0,52.0
20/08/2024,Tuesday,,123.0,True,True,73.0,False,93.0,5.0,16.0,25.0,16.0,10.0,5.0,16.0,0.0,0.0,60.0,84.0,52.0
21/08/2024,Wednesday,,126.0,True,False,0.0,False,144.0,8.0,25.0,37.0,25.0,16.0,8.0,25.0,0.0,0.0,63.0,31.0,32.0
22/08/2024,Thursday,,134.0,True,True,110.0,True,113.0,6.0,19.0,31.0,19.0,13.0,6.0,19.0,0.0,0.0,66.0,114.0,64.0
23/08/2024,Friday,,123.0,True,False,0.0,False,126.0,7.0,22.0,32.0,22.0,14.0,7.0,22.0,0.0,0.0,65.0,28.0,30.0
24/08/2024,Saturday,,164.0,True,True,112.0,True,129.0,7.0,22.0,34.0,22.0,15.0,7.0,22.0,0.0,0.0,81.0,125.0,70.0
25/08/2024,Sunday,,132.0,True,False,0.0,False,131.0,7.0,23.0,33.0,23.0,15.0,7.0,23.0,0.0,0.0,59.0,47.0,26.0
26/08/2024,Monday,,133.0,True,False,0.0,False,162.0,9.0,28.0,41.0,28.0,19.0,9.0,28.0,0.0,0.0,64.0,29.0,40.0
27/08/2024,Tuesday,,114.0,True,True,103.0,True,115.0,6.0,20.0,30.0,20.0,13.0,6.0,20.0,0.0,0.0,63.0,99.0,55.0
28/08/2024,Wednesday,,127.0,True,True,108.0,True,136.0,8.0,24.0,32.0,24.0,16.0,8.0,24.0,0.0,0.0,69.0,105.0,61.0
29/08/2024,Thursday,,100.0,False,False,0.0,False,77.0,4.0,13.0,21.0,13.0,9.0,4.0,13.0,0.0,0.0,58.0,25.0,17.0
30/08/2024,Friday,,100.0,False,False,0.0,False,77.0,4.0,13.0,21.0,13.0,9.0,4.0,13.0,0.0,0.0,58.0,25.0,17.0
31/08/2024,Saturday,,132.0,True,False,0.0,False,131.0,7.0,23.0,33.0,23.0,15.0,7.0,23.0,0.0,0.0,59.0,47.0,26.0
01/09/2024,Sunday,,112.0,True,True,107.0,True,92.0,5.0,16.0,24.0,16.0,10.0,5.0,16.0,0.0,0.0,59.0,105.0,55.0
02/09/2024,Monday,,107.0,True,False,0.0,False,96.0,5.0,16.0,27.0,16.0,11.0,5.0,16.0,0.0,0.0,52.0,31.0,24.0
03/09/2024,Tuesday,,107.0,True,False,0.0,False,96.0,5.0,16.0,27.0,16.0,11.0,5.0,16.0,0.0,0.0,52.0,31.0,24.0
04/09/2024,Wednesday,,116.0,True,False,0.0,False,114.0,6.0,20.0,29.0,20.0,13.0,6.0,20.0,0.0,0.0,58.0,35.0,23.0
05/09/2024,Thursday,,105.0,True,True,63.0,False,113.0,6.0,19.0,31.0,19.0,13.0,6.0,19.0,0.0,0.0,55.0,70.0,43.0
06/09/2024,Friday,,105.0,True,True,63.0,False,113.0,6.0,19.0,31.0,19.0,13.0,6.0,19.0,0.0,0.0,55.0,70.0,43.0
07/09/2024,Saturday,,143.0,True,True,83.0,False,110.0,6.0,19.0,29.0,19.0,12.0,6.0,19.0,0.0,0.0,66.0,98.0,62.0
08/09/2024,Sunday,,178.0,True,False,0.0,False,210.0,12.0,37.0,51.0,37.0,24.0,12.0,37.0,0.0,0.0,94.0,50.0,34.0
09/09/2024,Monday,,80.0,False,False,0.0,False,71.0,4.0,12.0,19.0,12.0,8.0,4.0,12.0,0.0,0.0,42.0,18.0,20.0
10/09/2024,Tuesday,,85.0,False,True,62.0,False,75.0,4.0,13.0,20.0,13.0,8.0,4.0,13.0,0.0,0.0,42.0,63.0,42.0
11/09/2024,Wednesday,,105.0,True,True,94.0,False,83.0,4.0,14.0,24.0,14.0,9.0,4.0,14.0,0.0,0.0,55.0,85.0,59.0
12/09/2024,Thursday,,100.0,False,False,0.0,False,97.0,5.0,17.0,25.0,17.0,11.0,5.0,17.0,0.0,0.0,44.0,39.0,17.0
13/09/2024,Friday,,104.0,True,True,98.0,False,95.0,5.0,16.0,26.0,16.0,11.0,5.0,16.0,0.0,0.0,57.0,95.0,50.0
14/09/2024,Saturday,,159.0,True,False,0.0,False,136.0,8.0,24.0,32.0,24.0,16.0,8.0,24.0,0.0,0.0,78.0,53.0,28.0
15/09/2024,Sunday,,132.0,True,True,101.0,True,133.0,7.0,23.0,35.0,23.0,15.0,7.0,23.0,0.0,0.0,68.0,105.0,60.0
16/09/2024,Monday,,83.0,False,True,79.0,False,66.0,3.0,11.0,20.0,11.0,7.0,3.0,11.0,0.0,0.0,38.0,77.0,47.0
17/09/2024,Tuesday,,115.0,True,False,0.0,False,106.0,6.0,18.0,28.0,18.0,12.0,6.0,18.0,0.0,0.0,56.0,41.0,18.0
18/09/2024,Wednesday,,83.0,False,True,79.0,False,66.0,3.0,11.0,20.0,11.0,7.0,3.0,11.0,0.0,0.0,38.0,77.0,47.0
19/09/2024,Thursday,,105.0,True,True,65.0,False,108.0,6.0,19.0,27.0,19.0,12.0,6.0,19.0,0.0,0.0,54.0,71.0,45.0
20/09/2024,Friday,,115.0,True,False,0.0,False,106.0,6.0,18.0,28.0,18.0,12.0,6.0,18.0,0.0,0.0,56.0,41.0,18.0
21/09/2024,Saturday,,156.0,True,False,0.0,False,169.0,9.0,29.0,45.0,29.0,19.0,9.0,29.0,0.0,0.0,79.0,41.0,36.0
22/09/2024,Sunday,,132.0,True,True,91.0,False,108.0,6.0,19.0,27.0,19.0,12.0,6.0,19.0,0.0,0.0,61.0,99.0,63.0
23/09/2024,Monday,,86.0,False,False,0.0,False,80.0,4.0,14.0,21.0,14.0,9.0,4.0,14.0,0.0,0.0,44.0,27.0,15.0
24/09/2024,Tuesday,,83.0,False,True,79.0,False,66.0,3.0,11.0,20.0,11.0,7.0,3.0,11.0,0.0,0.0,38.0,77.0,47.0
25/09/2024,Wednesday,,83.0,False,True,79.0,False,66.0,3.0,11.0,20.0,11.0,7.0,3.0,11.0,0.0,0.0,38.0,77.0,47.0
26/09/2024,Thursday,,141.0,True,True,97.0,False,107.0,6.0,18.0,29.0,18.0,12.0,6.0,18.0,0.0,0.0,67.0,109.0,62.0
27/09/2024,Friday,,141.0,True,True,97.0,False,107.0,6.0,18.0,29.0,18.0,12.0,6.0,18.0,0.0,0.0,67.0,109.0,62.0
28/09/2024,Saturday,,126.0,True,True,146.0,True,121.0,7.0,21.0,30.0,21.0,14.0,7.0,21.0,0.0,0.0,52.0,141.0,79.0
29/09/2024,Sunday,,126.0,True,True,146.0,True,121.0,7.0,21.0,30.0,21.0,14.0,7.0,21.0,0.0,0.0,52.0,141.0,79.0
30/09/2024,Monday,,83.0,False,True,79.0,False,66.0,3.0,11.0,20.0,11.0,7.0,3.0,11.0,0.0,0.0,38.0,77.0,47.0
01/10/2024,Tuesday,,102.0,True,True,68.0,False,88.0,5.0,15.0,23.0,15.0,10.0,5.0,15.0,0.0,0.0,39.0,76.0,55.0
02/10/2024,Wednesday,,116.0,True,False,0.0,False,114.0,6.0,20.0,29.0,20.0,13.0,6.0,20.0,0.0,0.0,58.0,35.0,23.0
03/10/2024,Thursday,,99.0,False,False,0.0,False,105.0,6.0,18.0,27.0,18.0,12.0,6.0,18.0,0.0,0.0,58.0,23.0,18.0
04/10/2024,Friday,,105.0,True,True,63.0,False,113.0,6.0,19.0,31.0,19.0,13.0,6.0,19.0,0.0,0.0,55.0,70.0,43.0
05/10/2024,Saturday,,138.0,True,True,90.0,False,112.0,6.0,19.0,30.0,19.0,13.0,6.0,19.0,0.0,0.0,74.0,94.0,60.0
06/10/2024,Sunday,,115.0,True,False,0.0,False,141.0,8.0,24.0,37.0,24.0,16.0,8.0,24.0,0.0,0.0,56.0,37.0,22.0
07/10/2024,Monday,,107.0,True,True,61.0,False,128.0,7.0,22.0,33.0,22.0,15.0,7.0,22.0,0.0,0.0,54.0,66.0,48.0
08/10/2024,Tuesday,,80.0,False,False,0.0,False,71.0,4.0,12.0,19.0,12.0,8.0,4.0,12.0,0.0,0.0,42.0,18.0,20.0
09/10/2024,Wednesday,,100.0,False,False,0.0,False,97.0,5.0,17.0,25.0,17.0,11.0,5.0,17.0,0.0,0.0,44.0,39.0,17.0
10/10/2024,Thursday,,120.0,True,True,77.0,False,133.0,7.0,23.0,35.0,23.0,15.0,7.0,23.0,0.0,0.0,53.0,89.0,55.0
11/10/2024,Friday,,120.0,True,True,77.0,False,133.0,7.0,23.0,35.0,23.0,15.0,7.0,23.0,0.0,0.0,53.0,89.0,55.0
12/10/2024,Saturday,,113.0,True,False,0.0,False,120.0,7.0,21.0,29.0,21.0,14.0,7.0,21.0,0.0,0.0,53.0,29.0,31.0
13/10/2024,Sunday,,115.0,True,False,0.0,False,141.0,8.0,24.0,37.0,24.0,16.0,8.0,24.0,0.0,0.0,56.0,37.0,22.0
14/10/2024,Monday,,97.0,False,False,0.0,False,114.0,6.0,20.0,29.0,20.0,13.0,6.0,20.0,0.0,0.0,54.0,26.0,17.0
15/10/2024,Tuesday,,109.0,True,False,0.0,False,131.0,7.0,23.0,33.0,23.0,15.0,7.0,23.0,0.0,0.0,62.0,25.0,22.0
16/10/2024,Wednesday,,130.0,True,True,117.0,True,114.0,6.0,20.0,29.0,20.0,13.0,6.0,20.0,0.0,0.0,67.0,106.0,74.0
17/10/2024,Thursday,,97.0,False,False,0.0,False,105.0,6.0,18.0,27.0,18.0,12.0,6.0,18.0,0.0,0.0,49.0,33.0,15.0
18/10/2024,Friday,,95.0,False,True,70.0,False,104.0,6.0,18.0,26.0,18.0,12.0,6.0,18.0,0.0,0.0,53.0,71.0,41.0
19/10/2024,Saturday,,102.0,True,False,0.0,False,118.0,6.0,20.0,33.0,20.0,13.0,6.0,20.0,0.0,0.0,61.0,26.0,15.0
20/10/2024,Sunday,,119.0,True,True,102.0,True,102.0,6.0,18.0,24.0,18.0,12.0,6.0,18.0,0.0,0.0,69.0,90.0,62.0
21/10/2024,Monday,,113.0,True,True,84.0,False,103.0,6.0,18.0,25.0,18.0,12.0,6.0,18.0,0.0,0.0,48.0,96.0,53.0
22/10/2024,Tuesday,,102.0,True,True,89.0,False,91.0,5.0,16.0,23.0,16.0,10.0,5.0,16.0,0.0,0.0,50.0,96.0,45.0
23/10/2024,Wednesday,,97.0,False,False,0.0,False,105.0,6.0,18.0,27.0,18.0,12.0,6.0,18.0,0.0,0.0,49.0,33.0,15.0
24/10/2024,Thursday,,97.0,False,False,0.0,False,105.0,6.0,18.0,27.0,18.0,12.0,6.0,18.0,0.0,0.0,49.0,33.0,15.0
25/10/2024,Friday,,116.0,True,True,75.0,False,125.0,7.0,22.0,31.0,22.0,14.0,7.0,22.0,0.0,0.0,60.0,80.0,51.0
26/10/2024,Saturday,,114.0,True,False,0.0,False,100.0,5.0,17.0,28.0,17.0,11.0,5.0,17.0,0.0,0.0,51.0,41.0,22.0
27/10/2024,Sunday,,101.0,True,True,108.0,True,120.0,7.0,21.0,29.0,21.0,14.0,7.0,21.0,0.0,0.0,55.0,98.0,56.0
28/10/2024,Monday,,113.0,True,True,84.0,False,103.0,6.0,18.0,25.0,18.0,12.0,6.0,18.0,0.0,0.0,48.0,96.0,53.0
29/10/2024,Tuesday,,111.0,True,False,0.0,False,137.0,8.0,24.0,33.0,24.0,16.0,8.0,24.0,0.0,0.0,59.0,34.0,18.0
30/10/2024,Wednesday,,104.0,True,False,0.0,False,120.0,7.0,21.0,29.0,21.0,14.0,7.0,21.0,0.0,0.0,50.0,37.0,17.0
31/10/2024,Thursday,Deepavali,163.0,True,True,97.0,False,134.0,7.0,23.0,36.0,23.0,15.0,7.0,23.0,0.0,0.0,78.0,107.0,75.0
01/11/2024,Friday,,103.0,True,True,83.0,False,86.0,5.0,15.0,21.0,15.0,10.0,5.0,15.0,0.0,0.0,58.0,78.0,50.0
02/11/2024,Saturday,,132.0,True,True,84.0,False,129.0,7.0,22.0,34.0,22.0,15.0,7.0,22.0,0.0,0.0,65.0,97.0,54.0
03/11/2024,Sunday,,108.0,True,False,0.0,False,105.0,6.0,18.0,27.0,18.0,12.0,6.0,18.0,0.0,0.0,45.0,37.0,26.0
04/11/2024,Monday,,105.0,True,True,75.0,False,120.0,7.0,21.0,29.0,21.0,14.0,7.0,21.0,0.0,0.0,52.0,82.0,46.0
05/11/2024,Tuesday,,91.0,False,False,0.0,False,70.0,4.0,12.0,18.0,12.0,8.0,4.0,12.0,0.0,0.0,44.0,32.0,15.0
06/11/2024,Wednesday,,105.0,True,True,75.0,False,120.0,7.0,21.0,29.0,21.0,14.0,7.0,21.0,0.0,0.0,52.0,82.0,46.0
07/11/2024,Thursday,,112.0,True,True,77.0,False,102.0,6.0,18.0,24.0,18.0,12.0,6.0,18.0,0.0,0.0,57.0,81.0,51.0
08/11/2024,Friday,,86.0,False,False,0.0,False,76.0,4.0,13.0,21.0,13.0,8.0,4.0,13.0,0.0,0.0,50.0,19.0,17.0
09/11/2024,Saturday,,138.0,True,True,90.0,False,112.0,6.0,19.0,30.0,19.0,13.0,6.0,19.0,0.0,0.0,74.0,94.0,60.0
10/11/2024,Sunday,,108.0,True,False,0.0,False,105.0,6.0,18.0,27.0,18.0,12.0,6.0,18.0,0.0,0.0,45.0,37.0,26.0
11/11/2024,Monday,,109.0,True,True,77.0,False,120.0,7.0,21.0,29.0,21.0,14.0,7.0,21.0,0.0,0.0,57.0,81.0,48.0
12/11/2024,Tuesday,,112.0,True,True,94.0,False,96.0,5.0,16.0,27.0,16.0,11.0,5.0,16.0,0.0,0.0,55.0,99.0,52.0
13/11/2024,Wednesday,,130.0,True,True,117.0,True,114.0,6.0,20.0,29.0,20.0,13.0,6.0,20.0,0.0,0.0,67.0,106.0,74.0
14/11/2024,Thursday,,86.0,False,False,0.0,False,107.0,6.0,18.0,29.0,18.0,12.0,6.0,18.0,0.0,0.0,41.0,32.0,13.0
15/11/2024,Friday,,86.0,False,False,0.0,False,107.0,6.0,18.0,29.0,18.0,12.0,6.0,18.0,0.0,0.0,41.0,32.0,13.0
16/11/2024,Saturday,,125.0,True,True,111.0,True,134.0,7.0,23.0,36.0,23.0,15.0,7.0,23.0,0.0,0.0,62.0,113.0,61.0
17/11/2024,Sunday,,103.0,True,True,89.0,False,117.0,6.0,20.0,32.0,20.0,13.0,6.0,20.0,0.0,0.0,48.0,88.0,56.0
18/11/2024,Monday,,91.0,False,False,0.0,False,78.0,4.0,13.0,22.0,13.0,9.0,4.0,13.0,0.0,0.0,52.0,18.0,21.0
19/11/2024,Tuesday,,100.0,False,True,70.0,False,87.0,5.0,15.0,22.0,15.0,10.0,5.0,15.0,0.0,0.0,49.0,75.0,46.0
20/11/2024,Wednesday,,105.0,True,True,90.0,False,107.0,6.0,18.0,29.0,18.0,12.0,6.0,18.0,0.0,0.0,44.0,91.0,60.0
21/11/2024,Thursday,,111.0,True,True,67.0,False,97.0,5.0,17.0,25.0,17.0,11.0,5.0,17.0,0.0,0.0,52.0,80.0,46.0
22/11/2024,Friday,,109.0,True,True,89.0,False,107.0,6.0,18.0,29.0,18.0,12.0,6.0,18.0,0.0,0.0,61.0,87.0,50.0
23/11/2024,Saturday,,146.0,True,True,101.0,True,181.0,10.0,31.0,47.0,31.0,21.0,10.0,31.0,0.0,0.0,73.0,112.0,62.0
24/11/2024,Sunday,,130.0,True,False,0.0,False,160.0,9.0,28.0,40.0,28.0,18.0,9.0,28.0,0.0,0.0,66.0,30.0,34.0
25/11/2024,Monday,,113.0,True,True,84.0,False,103.0,6.0,18.0,25.0,18.0,12.0,6.0,18.0,0.0,0.0,48.0,96.0,53.0
26/11/2024,Tuesday,,88.0,False,False,0.0,False,78.0,4.0,13.0,22.0,13.0,9.0,4.0,13.0,0.0,0.0,41.0,29.0,18.0
27/11/2024,Wednesday,,105.0,True,True,90.0,False,107.0,6.0,18.0,29.0,18.0,12.0,6.0,18.0,0.0,0.0,44.0,91.0,60.0
28/11/2024,Thursday,,93.0,False,False,0.0,False,74.0,4.0,13.0,19.0,13.0,8.0,4.0,13.0,0.0,0.0,53.0,25.0,15.0
29/11/2024,Friday,,82.0,False,False,0.0,False,97.0,5.0,17.0,25.0,17.0,11.0,5.0,17.0,0.0,0.0,45.0,22.0,15.0
30/11/2024,Saturday,,135.0,True,True,107.0,True,165.0,9.0,29.0,41.0,29.0,19.0,9.0,29.0,0.0,0.0,63.0,109.0,70.0
01/12/2024,Sunday,,108.0,True,False,0.0,False,105.0,6.0,18.0,27.0,18.0,12.0,6.0,18.0,0.0,0.0,45.0,37.0,26.0
02/12/2024,Monday,,96.0,False,False,0.0,False,110.0,6.0,19.0,29.0,19.0,12.0,6.0,19.0,0.0,0.0,43.0,32.0,21.0
03/12/2024,Tuesday,,109.0,True,True,75.0,False,94.0,5.0,16.0,25.0,16.0,11.0,5.0,16.0,0.0,0.0,49.0,88.0,47.0
04/12/2024,Wednesday,,109.0,True,True,75.0,False,94.0,5.0,16.0,25.0,16.0,11.0,5.0,16.0,0.0,0.0,49.0,88.0,47.0
05/12/2024,Thursday,,117.0,True,True,74.0,False,112.0,6.0,19.0,30.0,19.0,13.0,6.0,19.0,0.0,0.0,68.0,81.0,42.0
06/12/2024,Friday,,81.0,False,False,0.0,False,94.0,5.0,16.0,25.0,16.0,11.0,5.0,16.0,0.0,0.0,42.0,23.0,16.0
07/12/2024,Saturday,,123.0,True,True,108.0,True,150.0,8.0,26.0,39.0,26.0,17.0,8.0,26.0,0.0,0.0,57.0,111.0,63.0
08/12/2024,Sunday,,108.0,True,False,0.0,False,105.0,6.0,18.0,27.0,18.0,12.0,6.0,18.0,0.0,0.0,45.0,37.0,26.0
09/12/2024,Monday,,107.0,True,True,61.0,False,128.0,7.0,22.0,33.0,22.0,15.0,7.0,22.0,0.0,0.0,54.0,66.0,48.0
10/12/2024,Tuesday,,107.0,True,True,61.0,False,128.0,7.0,22.0,33.0,22.0,15.0,7.0,22.0,0.0,0.0,54.0,66.0,48.0
